GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
TestMochito-User,com.cg,EmployeeController,0,11,0,0,0,4,0,2,0,2
TestMochito-User,com.cg,EmployeeServiceImpl,0,12,0,0,0,2,0,2,0,2
